club,last_name,first_name,position,base_salary,guaranteed_compensation,year
CHV,Hamilton,Anthony,F,17700.0,17700.0,2007
CHV,Hernandez,Jason,D,45000.0,45625.0,2007
CHV,Kljestan,Sacha,M,70000.0,103000.0,2007
CHV,Llamosa,Carlos,D,84000.0,84000.0,2007
CHV,Lopez,Rodrigo,M,17700.0,17700.0,2007
CHV,Marsch,Jesse,M,100000.0,109375.0,2007
CHV,Mendoza,Francisco,M,90000.0,93750.0,2007
CHV,Merlin,Laurent,M,60000.0,60000.0,2007
CHV,Myers,Justin,GK,12900.0,12900.0,2007
CHV,Nagamura,Paulo,M,89250.0,89250.0,2007
CHV,Nunez,Ramon,M,100000.0,118000.0,2007
CHV,Perez,Orlando,D,70000.0,70000.0,2007
CHV,Razov,Ante,F,245000.0,248750.0,2007
CHV,Robles,Eder,D,12900.0,12900.0,2007
CHV,Solorzano,Erasmo,M,12900.0,12900.0,2007
CHV,Suarez,Claudio,D,146991.6,146991.6,2007
CHV,Thomas,Shavar,D,70000.0,73750.0,2007
CHV,Vaughn,Lawson,D,30000.0,30000.0,2007
CHV,Zotinca,Alex,D,67500.0,68750.0,2007
CLB,Evans,Brad,F,17700.0,17700.0,2007
CLB,Garey,Jason,F,41250.0,53750.0,2007
CLB,Gaudette,Bill,GK,30000.0,30000.0,2007
CLB,Gaven,Eddie,M,165000.0,188000.0,2007
CLB,Gonzalez,Marcos,D,156000.0,162250.0,2007
CLB,Grabavoy,Ned,M,45050.25,52550.25,2007
CLB,Gruenebaum,Andy,GK,17700.0,17700.0,2007
CLB,Hejduk,Frankie,D,150000.0,175000.0,2007
CLB,Hendrickson,Ezra,D-M,76650.0,77900.0,2007
CLB,Herron,Andy,F,140000.0,148750.0,2007
CLB,Hesmer,William,GK,30870.0,30870.0,2007
CLB,Hunter,Ben,F,12900.0,12900.0,2007
CLB,Junge,Ryan,D,12900.0,12900.0,2007
CLB,Kamara,Kei,F,33000.0,43000.0,2007
CLB,Marshall,Chad,D,100000.0,123000.0,2007
CLB,Miglioranzi,Stefani,M,70008.0,86258.0,2007
CLB,Moreno,Alejandro,F,120000.0,125000.0,2007
CLB,Moss,Brandon,M,17700.0,17700.0,2007
CLB,O'Rourke,Danny,M,46331.25,56331.25,2007
CLB,Oughton,Duncan,D,72000.0,72000.0,2007
CLB,Peterson,Andrew,M,12900.0,12900.0,2007
CLB,Pierce,Rusty,D,63000.0,64300.0,2007
CLB,Rogers,Robbie,F-M,50000.0,50000.0,2007
CLB,Schelotto,Guillermo Barros,F,150000.0,150000.0,2007
CLB,Szetela,Danny,M,43135.31,48760.31,2007
CLB,Thomas,Jacob,M,84000.0,87750.0,2007
CLB,Virtuoso,Ricardo,M,60000.0,102000.0,2007
CLB,Ward,Tim,D,38456.25,48456.25,2007
CLB,Zayner,Jed,D,33000.0,40500.0,2007
COL,Ballouchy,Mehdi,M,70000.0,88000.0,2007
COL,Cancela,Jose,M,156000.0,156000.0,2007
COL,Casey,Conor,F,180000.0,180000.0,2007
COL,Clark,Colin,F,17700.0,17700.0,2007
COL,Colaluca,Nico,M,45000.0,78000.0,2007
COL,Cooke,Terry,M,147500.0,152500.0,2007
COL,Coundoul,Bouna,GK,30000.0,30000.0,2007
COL,Cummings,Omar,F,30000.0,30000.0,2007
COL,DiRaimondo,John,M,12900.0,12900.0,2007
COL,Erpen,Facundo,D,115000.0,115000.0,2007
COL,Gargan,Daniel,M,30000.0,30000.0,2007
COL,Gomez,Hercules,F,49350.0,49350.0,2007
COL,Harvey,Jordan,D,17700.0,17700.0,2007
COL,Hernandez,Nicolas,F,130000.0,132400.0,2007
COL,Hughes,Justin,GK,12900.0,12900.0,2007
COL,Ihemelu,Ugo,D,55000.0,55000.0,2007
COL,Keel,Stephen,D,17700.0,17700.0,2007
COL,Kimura,Kosuke,M,12900.0,12900.0,2007
COL,Kirovski,Jovan,F,200000.0,200000.0,2007
COL,LaBrocca,Nick,M,12900.0,12900.0,2007
COL,Mastroeni,Pablo,M-D,280000.0,298000.0,2007
COL,Osorno,Daniel,F,138000.0,143000.0,2007
COL,Peterson,Jacob,F,70000.0,88750.0,2007
COL,Petke,Mike,D,126000.0,126000.0,2007
COL,Prideaux,Brandon,D,76403.0,76403.0,2007
COL,Sanneh,Tony,D,60000.0,60000.0,2007
COL,Thornton,Zach,GK,57600.0,57600.0,2007
COL,Wasson,Daniel,D,17700.0,17700.0,2007
COL,Wilmes,Clifton,D,12900.0,12900.0,2007
DAL,Alvarez,Arturo,M,32819.0,46019.0,2007
DAL,Botero,Juan Sebastian,M,12900.0,12900.0,2007
DAL,Burse,Ray,GK,17700.0,17700.0,2007
DAL,Cooper,Kenny,F,80000.0,83000.0,2007
DAL,Daniels,Andrew,D,12900.0,12900.0,2007
DAL,De Oliveira,Denilson,M,872736.0,879936.0,2007
DAL,Dello-Russo,Michael,D,12900.0,12900.0,2007
DAL,Gbandi,Chris,D,100000.0,103750.0,2007
DAL,Gbandi,Sandy,M,12900.0,12900.0,2007
DAL,Goodson,Clarence,D,48378.75,53378.75,2007
DAL,Hislop,Shaka,GK,220800.0,220800.0,2007
DAL,Ibrahim,Abdus,F,50000.0,83000.0,2007
DAL,Jones,Scott,M,12900.0,12900.0,2007
DAL,McCarty,Dax,M,33000.0,45500.0,2007
DAL,Mina,Roberto,F,80000.0,80000.0,2007
DAL,Moor,Drew,D,53350.0,65850.0,2007
DAL,Oduro,Dominic,F,30000.0,30000.0,2007
DAL,Pereira,Ricardo,F,30000.0,30000.0,2007
DAL,Pitchkolan,Aaron,M,17700.0,17700.0,2007
DAL,Rhine,Bobby,D,60000.0,62500.0,2007
DAL,Ricchetti,Pablo,M,120000.0,126625.0,2007
DAL,Ruiz,Carlos,F,325000.0,435000.0,2007
DAL,Sala,Dario,GK,110000.0,119875.0,2007
DAL,Saragosa,Marcelo,M,67008.0,71883.0,2007
DAL,Serioux,Adrian,D,108000.0,120500.0,2007
DAL,Thompson,Abe,F,30000.0,30000.0,2007
DAL,Toja,Juan Carlos,M,100008.0,100008.0,2007
DAL,Wagenfuhr,David,D,30870.0,30870.0,2007
DAL,Wagner,Blake,D,33000.0,45500.0,2007
DAL,Wallace,Anthony,M,45000.0,78000.0,2007
DAL,Yi,Alex,D,30870.0,30870.0,2007
DC,Addlery,Nicholas,F,36000.0,36000.0,2007
DC,Arguez,Bryan,M-D,45000.0,76200.0,2007
DC,Boswell,Robert,D,30870.0,30870.0,2007
DC,Burch,Marc,D,30000.0,30000.0,2007
DC,Carreiro da Silva,Fred,M-F,190008.0,222008.0,2007
DC,Carroll,Brian,M,115000.0,118750.0,2007
DC,Carroll,Jeff,M-D,12900.0,12900.0,2007
DC,Crowe,Shawn,GK,12900.0,12900.0,2007
DC,DeRoux,Stephen,M,12900.0,12900.0,2007
DC,Dyachenko,Rod,M,17700.0,17700.0,2007
DC,Emilio,Luciano,F,265000.0,293125.0,2007
DC,Gomez,Cristian,M,216000.0,218500.0,2007
DC,Gros,Joshua,M,72500.0,75000.0,2007
DC,Kpene,Guy,F,30000.0,30000.0,2007
DC,McTavish,Devon,M,30000.0,30000.0,2007
DC,Mediate,Stanton,M-F,30000.0,30000.0,2007
DC,Moose,Justin,M,17700.0,17700.0,2007
DC,Moreno,Jaime,F,250000.0,275000.0,2007
DC,Mupier,Mira,F,12900.0,12900.0,2007
DC,Namoff,Bryan,D,85000.0,88750.0,2007
DC,Nolly,Jay,GK,36000.0,36000.0,2007
DC,North,Brad,F,12900.0,12900.0,2007
DC,Olsen,Ben,M,155000.0,177500.0,2007
DC,Perkins,Troy,GK,85000.0,87500.0,2007
DC,Simms,Clyde,M,52500.0,53750.0,2007
DC,Vanney,Greg,D,216667.0,236667.0,2007
DC,Walker,Jamil,M-F,30870.0,30870.0,2007
HOU,Ashe,Corey,M,30000.0,30000.0,2007
HOU,Barrett,Wade,D,141750.0,141750.0,2007
HOU,Chabala,Mike,M,17700.0,17700.0,2007
HOU,Ching,Brian,F,220000.0,220000.0,2007
HOU,Clark,Ricardo,M,195000.0,195000.0,2007
HOU,Cochrane,Ryan,D,51149.0,66149.0,2007
HOU,Dalglish,Paul,F,96000.0,101000.0,2007
HOU,Davis,Brad,M,120000.0,120000.0,2007
HOU,DeRosario,Dwayne,M,324999.96,324999.96,2007
HOU,Ebert,Eric,M,12900.0,12900.0,2007
HOU,Hatzke,Nick,M,12900.0,12900.0,2007
HOU,Hayden,John-Michael,M,17700.0,17700.0,2007
HOU,Hoerner,Kenneth,M-F,12900.0,12900.0,2007
HOU,Holden,Stuart,M,31500.0,31500.0,2007
HOU,Ianni,Patrick,D,70000.0,103000.0,2007
HOU,James,Jordan,GK,12900.0,12900.0,2007
HOU,Jaqua,Nate,F,112500.0,119525.0,2007
HOU,Moloi,Mpho,M,17700.0,17700.0,2007
HOU,Mullan,Brian,M,125000.0,125000.0,2007
HOU,Mulrooney,Richard,M,220000.0,233200.0,2007
HOU,Ngwenya,Joseph,F,51148.13,62023.13,2007
HOU,Onstad,Pat,GK,168000.0,168000.0,2007
HOU,Robinson,Eddie,D,110000.0,110000.0,2007
HOU,Ustruck,Erik,M,12900.0,12900.0,2007
HOU,Waibel,Craig,D,85000.0,85000.0,2007
HOU,Wells,Zachary,GK,50400.0,50400.0,2007
HOU,Wondolowski,Chris,M,30000.0,30000.0,2007
KC,Arnaud,Davy,M,100000.0,101875.0,2007
KC,Burciaga,Jose,D,100000.0,102500.0,2007
KC,Colombano,Eloy,F-M,42000.0,42000.0,2007
KC,Conrad,Jimmy,D,194750.0,206000.0,2007
KC,Elcock,Edson,M-F,17700.0,17700.0,2007
KC,Garcia,Nick,D,131250.0,136250.0,2007
KC,Godbolt,Aaron John,M,17700.0,17700.0,2007
KC,Guadarrama,Willy,F,12900.0,12900.0,2007
KC,Harrington,Michael,D,36000.0,53500.0,2007
KC,Hartman,Kevin,GK,150000.0,150000.0,2007
KC,Hohlbein,Aaron,M-D,30000.0,30000.0,2007
KC,Jewsbury,Jack,M-F,50000.0,50000.0,2007
KC,John,Will,M-F,33075.0,40575.0,2007
KC,Johnson,Eddie,F,750000.0,875000.0,2007
KC,Konopka,Chris,GK,12900.0,12900.0,2007
KC,Kraus,Michael,M-F,12900.0,12900.0,2007
KC,Kronberg,Eric,GK,30000.0,30000.0,2007
KC,Lowery,Amir,M,12900.0,12900.0,2007
KC,Marinelli,Carlos,M,165000.0,165000.0,2007
KC,McMahen,Ryan,M,30000.0,30000.0,2007
KC,Morsink,Kurt,M,30000.0,30000.0,2007
KC,Movsisyan,Yura,F,35750.0,45750.0,2007
KC,Pore,Ryan,F,44825.0,57325.0,2007
KC,Raybould,Ryan,D-M,30000.0,30000.0,2007
KC,Sealy,Scott,F,33075.0,33075.0,2007
KC,Victorine,Sasha,M,137500.0,140000.0,2007
KC,Wahl,Tyson,D,30000.0,30000.0,2007
KC,Watson,Lance,M,17700.0,17700.0,2007
KC,Zavagnin,Kerry,M,154000.0,154000.0,2007
LA,Albright,Chris,M-D,142500.0,142500.0,2007
LA,Beckham,David,M,5500000.08,6500000.04,2007
LA,Buddle,Edson,F,140000.0,150000.0,2007
LA,Cannon,Joe,GK,192000.0,192000.0,2007
LA,Caso,Mike,M,12900.0,12900.0,2007
LA,Cronin,Steve,GK,34728.75,42228.75,2007
LA,Donovan,Landon,F,900000.0,900000.0,2007
LA,Friesz,Lance,GK,12900.0,12900.0,2007
LA,Glinton,Gavin,F,50000.0,50000.0,2007
LA,Gordon,Alan,F,30870.0,30870.0,2007
LA,Gray,Kelly,M-D,85000.0,85000.0,2007
LA,Harden,Ty,D,30000.0,30000.0,2007
LA,Harmse,Kevin,M,40800.0,40800.0,2007
LA,Jazic,Ante,D-M,108000.0,114250.0,2007
LA,Jones,Cobi,M,95000.0,95000.0,2007
LA,Kirk,Quavas,F,75000.0,111500.0,2007
LA,Klein,Chris,M,180000.0,187250.0,2007
LA,Martino,Kyle,M,52500.0,55297.27,2007
LA,Pavon,Carlos,F,132000.0,141500.0,2007
LA,Randolph,Michael,D,17700.0,17700.0,2007
LA,Roberts,Troy,D,30000.0,30000.0,2007
LA,Sesay,Israel,F,45000.0,57083.33,2007
LA,Tudela,Josh,M,17700.0,17700.0,2007
LA,Vagenas,Peter,M,131250.0,131875.0,2007
LA,Veris,Kyle,D,17700.0,17700.0,2007
LA,Xavier,Abel,D,156000.0,156000.0,2007
NE,Byrne,Bryan,M,30000.0,30000.0,2007
NE,Cristman,Adam,F,17700.0,17700.0,2007
NE,Dorman,Andy,M,30870.0,30870.0,2007
NE,Flood,Gary,D,12900.0,12900.0,2007
NE,Franchino,Joey,D,90000.0,90000.0,2007
NE,Gonzalez,Miguel,M,12900.0,12900.0,2007
NE,Heaps,Jay,D,110000.0,113750.0,2007
NE,Helton,Kyle,D,12900.0,12900.0,2007
NE,Igwe,Amaechi,F,45000.0,78000.0,2007
NE,John,Avery,D,63000.0,63750.0,2007
NE,Joseph,Shalrie,D,170625.0,180625.0,2007
NE,Knighton,Brad,GK,12900.0,12900.0,2007
NE,Larentowicz,Jeff,M,30000.0,30000.0,2007
NE,Leonard,Marshall,M,47500.0,47500.0,2007
NE,Loftus,Chris,F,12900.0,12900.0,2007
NE,Noonan,Pat,F,225000.0,227500.0,2007
NE,Oka,Arsene,M,12900.0,12900.0,2007
NE,Parkhurst,Michael,D,80575.0,93075.0,2007
NE,Ralston,Steve,M,150000.0,150000.0,2007
NE,Reis,Matt,GK,150000.0,150000.0,2007
NE,Riley,James,D-F,30870.0,30870.0,2007
NE,Sims,Willie,F,35500.0,43000.0,2007
NE,Smith,Khano,F,44100.0,44100.0,2007
NE,Solle,Ryan,M,17700.0,17700.0,2007
NE,Thompson,Wells,M,30000.0,30000.0,2007
NE,Twellman,Taylor,F,325008.0,350008.0,2007
NE,Warren,Doug,GK,50000.0,50000.0,2007
NY,Altidore,Josmer,F,85000.0,108333.0,2007
NY,Angel,Juan Pablo,F,1500000.0,1593750.0,2007
NY,Caccavale,Salvatore,M,12900.0,12900.0,2007
NY,Camp,Blake,M,12900.0,12900.0,2007
NY,Cepero,Danny,GK,12900.0,12900.0,2007
NY,Conway,Jon,GK,65000.0,65750.0,2007
NY,Doe,Francis,F,48000.0,48000.0,2007
NY,Freeman,Hunter,D-M,50600.0,60600.0,2007
NY,Goldthwaite,Kevin,D,30870.0,30870.0,2007
NY,Ikangu,Elie,M,17700.0,17700.0,2007
NY,Karcz,Chris,M,12900.0,12900.0,2007
NY,Kovalenko,Dema,M,190000.0,197375.0,2007
NY,Laventure,Jerrod,F,12900.0,12900.0,2007
NY,Leitch,Chris,D,43200.0,43200.0,2007
NY,Magee,Mike,F,56206.25,57206.25,2007
NY,Mathis,Clint,M-F,270000.0,410000.0,2007
NY,Mendes,Carlos,D,62606.25,62606.25,2007
NY,Parke,Jeff,D,47250.0,48500.0,2007
NY,Patterson,Randi,F,12900.0,12900.0,2007
NY,Quaranta,Santino,F,100000.0,105312.5,2007
NY,Reyna,Claudio,M,1000008.0,1250008.0,2007
NY,Richards,Dane,F-M,30000.0,30000.0,2007
NY,Schopp,Markus,M,175000.0,175000.0,2007
NY,Stammler,Seth,D,30870.0,30870.0,2007
NY,Ubiparipovic,Sinisa,F-M,17700.0,17700.0,2007
NY,Van Den Bergh,Dave,M,180000.0,214583.33,2007
NY,Vide,Joe,M,17700.0,17700.0,2007
NY,Waterreus,Ronald,GK,200000.0,200000.0,2007
NY,Wolyniec,John,F,65625.0,65625.0,2007
Pool,Monsalve,David,GK,30000.0,30000.0,2007
Pool,Pardo,Boris,GK,17700.0,17700.0,2007
Pool,Reynolds,Samuel,GK,17700.0,17700.0,2007
Pool,Schoeni,Kenny,GK,17700.0,17700.0,2007
RSL,Beckerman,Kyle,M,120000.0,122500.0,2007
RSL,Besagno,Nikolas,M,75000.0,111500.0,2007
RSL,Brown,Kyle,F,17700.0,17700.0,2007
RSL,Brown,Chris,M-F,70000.0,70000.0,2007
RSL,Curfman,Steven,M,12900.0,12900.0,2007
RSL,Cutler,Kenny,M,30000.0,30000.0,2007
RSL,Eskandarian,Alecko,F,155000.0,175500.0,2007
RSL,Espindola,Edgar,F,72000.0,72000.0,2007
RSL,Findley,Robert,F,36000.0,48500.0,2007
RSL,Forko,Willis,D,30000.0,30000.0,2007
RSL,Harris,Atiba,F,30000.0,30000.0,2007
RSL,Hashimoto,Duke,F,17700.0,17700.0,2007
RSL,Jimenez,Christian,M,33075.0,43075.0,2007
RSL,Kipre,Jean-Martial,D,30000.0,30000.0,2007
RSL,Kirby,Dustin,D,12900.0,12900.0,2007
RSL,Kotschau,Ritchie,D,69300.0,70175.0,2007
RSL,Lancos,Chris,D,17700.0,17700.0,2007
RSL,Mantilla,Matias,D,48000.0,48000.0,2007
RSL,Morales,Javier,M,120000.0,120000.0,2007
RSL,Pope,Eddie,D,265000.0,265000.0,2007
RSL,Reynish,Kyle,GK,17700.0,17700.0,2007
RSL,Rimando,Nick,GK,64125.0,68468.75,2007
RSL,Seitz,Chris,GK,55000.0,90500.0,2007
RSL,Stewart,Jack,D,41081.25,48581.25,2007
RSL,Sturgis,Nathan,M,70000.0,103000.0,2007
RSL,Talley,Carey,D,118248.0,118248.0,2007
RSL,Watson,Jamie,F,45100.0,50100.0,2007
RSL,Williams,Andy,F,70008.0,70008.0,2007
RSL,Wingert,Chris,D,54993.75,62493.75,2007
TFC,Attakora-Gyan,Nana,D,12900.0,12900.0,2007
TFC,Boyens,Andrew,D,30000.0,47500.0,2007
TFC,Braz,Adam,D,67200.0,74950.0,2007
TFC,Brennan,Jim,D,150000.0,158000.0,2007
TFC,Canizalez,Maycoll,M,36000.0,40000.0,2007
TFC,Cunningham,Jeffrey,F,220000.0,232500.0,2007
TFC,Dichio,Daniel,F,150000.0,158125.0,2007
TFC,Djekanovic,Srdjan,GK,17700.0,17700.0,2007
TFC,Dunivant,Todd,D,99750.0,99750.0,2007
TFC,Edu,Maurice,M,50000.0,132500.0,2007
TFC,Gala,Gabriel,M,12900.0,12900.0,2007
TFC,Guzman,David,M,12900.0,12900.0,2007
TFC,Hemming,Tyler,M,17700.0,17700.0,2007
TFC,Lombardo,Andrea,F,30000.0,30000.0,2007
TFC,Lumley,Stephen,D,12900.0,12900.0,2007
TFC,Marshall,Tyrone,D,142000.0,149500.0,2007
TFC,Melo,Joey,M,12900.0,12900.0,2007
TFC,Nunez,Cristian,M,17700.0,17700.0,2007
TFC,O'Brien,Ronnie,M,240000.0,258750.0,2007
TFC,Pozniak,Chris,D,90000.0,95000.0,2007
TFC,Reda,Marco,D,100000.0,105000.0,2007
TFC,Robinson,Carl,M,300000.0,315000.0,2007
TFC,Samuel,Collin,F,90000.0,115000.0,2007
TFC,Stamatopolus,Kenny,GK,30000.0,37500.0,2007
TFC,Sutton,Greg,GK,125000.0,132562.5,2007
TFC,Welsh,Andrew,M,195000.0,204750.0,2007
TFC,Wynne,Marvell,D,47500.0,150000.0,2007
LA,Adzemian,Vardan,D,12900.0,12900.0,2008
LA,Alamo,Charles,GK,12900.0,12900.0,2008
NE,Albright,Chris,D,160000.0,160000.0,2008
HOU,Alcaraz,Johnny,M,12900.0,12900.0,2008
LA,Allen,Ely,F,12900.0,12900.0,2008
SJ,Alvarez,Arturo,M,166250.0,175587.5,2008
NY,Angel,Juan Pablo,F,1500000.0,1593750.0,2008
Pool,Angulo,Jose,F,12900.0,12900.0,2008
SJ,Arce,Miguel,F,12900.0,12900.0,2008
KC,Arnaud,Davy,M,105000.0,106875.0,2008
HOU,Ashe,Corey,M,33000.0,33000.0,2008
TFC,Attakora-Gyan,Nana,D,12900.0,12900.0,2008
DAL,Avila,Eric,M,45000.0,78000.0,2008
SJ,Ayres,Jay,D,17700.0,17700.0,2008
NE,Badilla,Gabriel,D,138000.0,138000.0,2008
COL,Ballouchy,Mehdi,M,75000.0,93000.0,2008
CHI,Banner,Michael,D,12900.0,12900.0,2008
LA,Barlow,Jeremy,D,12900.0,12900.0,2008
TFC,Barrett,Chad,F,53773.13,61273.13,2008
HOU,Barrett,Wade,D,148838.0,148838.0,2008
RSL,Beckerman,Kyle,M,143000.0,145500.0,2008
LA,Beckham,David,M,5500000.08,6500000.04,2008
RSL,Beltran,Anthony,D,55000.0,90500.0,2008
RSL,Besagno,Nikolas,D,100000.0,136500.0,2008
CHI,Blanco,Cuauhtemoc,M,2492316.0,2666778.0,2008
LA,Bolkan,Scott,M,12900.0,12900.0,2008
RSL,Borchers,Nat,D,120000.0,127500.0,2008
NY,Borman,Danleigh,M,17700.0,17700.0,2008
CHV,Bornstein,Jonathan,D,77500.0,77500.0,2008
NY,Boss,Terry,GK,33000.0,35500.0,2008
HOU,Boswell,Robert,D,33000.0,33000.0,2008
LA,Bowen,Tristan,F,45000.0,76363.63,2008
NY,Boyens,Andrew,D,41250.0,43750.0,2008
CHV,Braun,Justin,F,12900.0,12900.0,2008
TFC,Brennan,Jim,D,175000.0,183250.0,2008
NE,Brill,Sam,D,12900.0,12900.0,2008
CHI,Brown,C.J.,D,111711.0,111711.0,2008
HOU,Brown,Kyle,F,33000.0,33000.0,2008
LA,Buddle,Edson,F,147000.0,157000.0,2008
DC,Burch,Marc,D,33000.0,33000.0,2008
COL,Burciaga,Jose,D,80000.0,82500.0,2008
CHV,Burling,Bobby,D,17700.0,17700.0,2008
CLB,Burns,Kevin,M,12900.0,12900.0,2008
COL,Burpo,Preston,GK,55116.18,55116.18,2008
DAL,Burse,Ray,GK,33000.0,33000.0,2008
CHI,Busch,Jon,GK,80000.0,81250.0,2008
HOU,Caig,Tony,GK,52596.0,52596.0,2008
HOU,Cameron,Geoff,M,33000.0,33000.0,2008
SJ,Cannon,Joe,GK,213000.0,213000.0,2008
CHI,Carr,Calen,F,50600.0,63100.0,2008
DC,Carreiro da Silva,Fred,M,210000.0,242000.0,2008
CLB,Carroll,Brian,M,122500.0,126250.0,2008
DC,Carroll,Jeff,D,12900.0,12900.0,2008
DC,Carroll,Pat,D,12900.0,12900.0,2008
COL,Casey,Conor,F,190008.0,190008.0,2008
NE,Castro,Mauricio,M,90000.0,96250.0,2008
NY,Cepero,Daniel,GK,12900.0,12900.0,2008
HOU,Chabala,Michael,M,17700.0,17700.0,2008
CHV,Chiles,Kraig,M,12900.0,12900.0,2008
HOU,Ching,Brian,F,231000.0,231000.0,2008
NY,Cichero,Gabriel,D,156000.0,157500.0,2008
COL,Clark,Colin,M,33000.0,33000.0,2008
HOU,Clark,Ricardo,M,225500.0,225500.0,2008
SJ,Cochrane,Ryan,D,132000.0,133250.0,2008
COL,Colaluca,Nico,M,70000.0,103000.0,2008
CHI,Conde,Wilman,D,156000.0,163500.0,2008
KC,Conrad,Jimmy,D,213750.0,225000.0,2008
NY,Conway,Jon,GK,115000.0,115000.0,2008
COL,Cooke,Terry,M,167500.0,172500.0,2008
DAL,Cooper,Kenny,F,80000.0,83000.0,2008
DC,Cordeiro,Ryan,M,17700.0,17700.0,2008
SJ,Corrales,Ramiro,M,190000.0,202500.0,2008
COL,Coundoul,Bouna,GK,33000.0,33000.0,2008
DC,Crayton,Louis,GK,168000.0,175857.14,2008
NE,Cristman,Adam,F,33000.0,33000.0,2008
LA,Cronin,Steve,GK,75000.0,75000.0,2008
COL,Cummings,Omar,F,33000.0,33000.0,2008
SJ,Cunliffe,John,F,35500.0,50500.0,2008
DAL,Cunningham,Jeffrey,F,245000.0,257500.0,2008
CHV,Curtin,Jim,D,104004.0,104004.0,2008
RSL,Cutler,Kenny,M,36000.0,36000.0,2008
COL,Dalby,Greg,M,33000.0,33000.0,2008
DAL,Daniels,Andrew,D,33000.0,33000.0,2008
DAL,Davino,Dulio,D,400000.0,400000.0,2008
HOU,Davis,Brad,M,126000.0,126000.0,2008
DAL,Dello-Russo,Michael,D,33000.0,33000.0,2008
SJ,Denton,Eric,D,55200.0,55200.0,2008
HOU,DeRosario,Dwayne,M,324999.96,324999.96,2008
RSL,Deuchar,Kenny,F,135000.0,145000.0,2008
TFC,Dichio,Daniel,F,157500.0,165625.0,2008
COL,DiRaimondo,John,M,17700.0,17700.0,2008
DC,Doe,Francis,F,33000.0,40500.0,2008
LA,Dominguez,Eduardo,D,192000.0,192000.0,2008
LA,Donovan,Landon,F,900000.0,900000.0,2008
NE,Dube,Mkhokheli,F,17700.0,17700.0,2008
TFC,Dunivant,Todd,D,104737.5,104737.5,2008
DC,Dyachenko,Rod,M,33000.0,33000.0,2008
CHV,Ebert,Eric,D,12900.0,12900.0,2008
NY,Echeverry,Oscar,F,80000.0,80000.0,2008
TFC,Edwards,Brian,GK,36000.0,44750.0,2008
CLB,Ekpo,Emmanuel,M,101500.0,123750.0,2008
CLB,Elenio,Cory,M,12900.0,12900.0,2008
TFC,Elkinson,Kilian,M,12900.0,12900.0,2008
DC,Emilio,Luciano,F,720000.0,758857.14,2008
COL,Erpen,Facundo,D,125000.0,125000.0,2008
CHV,Eskandarian,Alecko,F,123500.0,131041.25,2008
RSL,Espindola,Fabian,F,75000.0,75000.0,2008
KC,Espinoza,Roger,M,45000.0,78750.0,2008
CLB,Evans,Brad,M,33000.0,33000.0,2008
CHV,Ferreira,Dejair,M,96000.0,185230.77,2008
RSL,Findley,Robert,F,47100.0,59600.0,2008
NE,Flood,Gary,M,17700.0,17700.0,2008
CHV,Flores,Jorge,F,17700.0,17700.0,2008
LA,Franchino,Joey,M,50000.0,50000.0,2008
LA,Franklin,Sean,D,36000.0,48500.0,2008
CHI,Frankowski,Tomasz,F,198000.0,214250.0,2008
